FracAdap,0.3298769776932281,10285,0.13197721650109284
FracOptimizer,1,10285,0.14227505672307705
FracOptimizer2,0.1,10285,0.18936891912996112
FracOptimizerBStable,0.01,10285,0.1899441933346693
FracAdap,0.757858283255211,307277,0.8415987301735219
FracOptimizer,0.21763764082403383,307277,0.874112585385381
FracOptimizer2,0.1,307277,0.9406307648503444
FracOptimizerBStable,0.05,307277,1.0529552187529778
FracAdap,0.14358729437463108,786626,0.6631169017858717
FracOptimizer,1,786626,0.8736700786488305
FracOptimizerBStable,0.05,786626,1.3650126345971243
FracOptimizer2,1,786626,1.3869897712317347
FracOptimizer,0.5,2476,0.4186120908003452
FracOptimizerBStable,0.05,2476,0.43560343858967565
FracAdap,0.40612619817812357,2476,0.4483423181928267
FracOptimizer2,0.1,2476,0.5924671519144646
FracAdap,10,788642,0.8209674542459596
FracOptimizer,20,788642,0.8790729427504419
FracOptimizerBStable,0.05,788642,1.3863114450862597
FracOptimizer2,1,788642,1.3863122450521803
FracOptimizer,0.05,788642,0.1325675047398883
FracOptimizer4,0.05,788642,0.13842101016711836
FracAdap,0.01,788642,0.36159092135903587
FracOptimizer2,0.04,788642,0.5466216755559103
FracOptimizerBStable,0.05,788642,1.0835056229915616
FracOptimizer,0.01,918358,0
FracOptimizer,0.01,2924106,0
